"Date de création";"Numéro de lettrage";"Numéro de police";"Prime TTC";"Date effet";"Echéance"
"2018-12-10 17:39:57";"";"PLX304450";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284374";"162500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284375";"162500";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284376";"162500";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284377";"162500";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304502";"10000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304502";"10000";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304502";"10000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304502";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304501";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304303";"10000";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304501";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304501";"31250";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304501";"31250";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX253096";"6171897";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX304222";"250000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284386";"750000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304221";"40000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX284385";"850000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"PLX304220";"40000";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX304227";"29742127";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX284464";"31250";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"MAX285990";"2593500";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"SEC80126";"AUX187700";"10079163";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX284326";"405080";"2017-01-01";"2018-12-10"
"2018-12-10 17:39:57";"SEC80605";"AUX187700";"10303145";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"SEC80605";"RCX119285";"1000000";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"SEC80605";"MRD135387";"1232979";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"SEC80605";"MRD187701";"209567";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"SEC80605";"MRX119300";"579593";"2017-07-01";"2018-12-10"
"2018-12-10 17:39:57";"SEC80523";"MRD135385";"518937";"2017-10-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX373977";"35636";"2018-05-05";"2018-12-10"
"2018-12-10 17:39:57";"";"RCX284464";"31250";"2017-04-01";"2018-12-10"
"2018-12-10 17:39:57";"";"AUX373974";"84049";"2018-05-04";"2018-12-10"
